"Gender","Customer Type","Age","Type of Travel","Class","Flight Distance","Inflight wifi service","Departure/Arrival time convenient","Ease of Online booking","Gate location","Food and drink","Online boarding","Seat comfort","Inflight entertainment","On-board service","Leg room service","Baggage handling","Checkin service","Inflight service","Cleanliness","Departure Delay in Minutes","Arrival Delay in Minutes","satisfaction"
"Male","Loyal Customer",65,"Personal Travel","Eco",358,"4","4","4","4","4","4","4","4","5","2","5","4","5","4",0,0,"satisfied"
"Female","Loyal Customer",37,"Business travel","Eco",862,"1","5","2","2","1","1","1","1","2","4","3","2","3","1",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",24,"Personal Travel","Eco",349,"3","4","3","3","3","3","3","3","5","2","5","4","5","3",8,2,"neutral or dissatisfied"
"Female","Loyal Customer",31,"Personal Travel","Business",376,"2","4","2","2","5","2","5","5","5","5","5","3","4","5",27,18,"neutral or dissatisfied"
"Female","Loyal Customer",64,"Personal Travel","Eco",781,"4","2","4","3","1","3","3","3","3","4","5","3","3","3",63,57,"neutral or dissatisfied"
"Male","Loyal Customer",50,"Personal Travel","Eco",451,"4","2","4","3","3","4","3","3","1","1","4","4","3","3",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",30,"Business travel","Eco",964,"1","2","2","2","1","1","1","1","3","1","4","4","3","1",3,0,"neutral or dissatisfied"
"Female","Loyal Customer",60,"Personal Travel","Business",2611,"2","4","2","1","2","1","3","2","1","4","4","3","2","3",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",10,"Personal Travel","Eco",163,"1","4","0","2","5","0","5","5","3","5","5","4","5","5",0,0,"neutral or dissatisfied"
"Female","disloyal Customer",24,"Business travel","Eco",946,"2","1","1","1","1","1","1","1","3","2","4","4","4","1",0,0,"neutral or dissatisfied"
"Female","disloyal Customer",36,"Business travel","Eco",1416,"4","4","4","3","4","4","4","4","1","2","4","1","3","4",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",36,"Business travel","Business",515,"5","5","5","5","2","3","3","5","5","5","5","4","5","3",43,26,"satisfied"
"Female","disloyal Customer",37,"Business travel","Eco",382,"3","1","3","4","5","3","5","5","3","3","4","2","3","5",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",42,"Business travel","Business",719,"2","4","4","4","4","4","4","2","2","2","2","2","2","1",31,48,"neutral or dissatisfied"
"Male","Loyal Customer",32,"Business travel","Business",562,"5","5","5","5","4","4","4","4","4","2","2","4","3","4",183,192,"satisfied"
"Male","Loyal Customer",46,"Business travel","Business",279,"5","5","5","5","5","5","5","5","5","5","5","4","5","4",0,0,"satisfied"
"Female","disloyal Customer",48,"Business travel","Business",236,"1","1","1","4","4","1","4","4","2","2","3","2","3","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",13,"Personal Travel","Eco",762,"1","5","1","4","2","1","2","2","4","3","5","4","4","2",0,6,"neutral or dissatisfied"
"Male","disloyal Customer",33,"Business travel","Eco",125,"1","2","1","3","3","1","3","3","4","5","4","1","4","3",40,55,"neutral or dissatisfied"
"Female","disloyal Customer",42,"Business travel","Business",977,"3","3","3","3","3","3","3","4","3","4","5","3","4","3",131,125,"neutral or dissatisfied"
"Female","Loyal Customer",54,"Business travel","Business",2608,"2","1","1","1","4","2","3","2","2","2","2","2","2","2",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",36,"Business travel","Business",369,"3","3","3","3","5","1","2","4","4","4","4","5","4","2",0,0,"satisfied"
"Male","disloyal Customer",29,"Business travel","Business",631,"3","3","3","3","3","3","3","3","4","4","4","5","5","3",37,20,"neutral or dissatisfied"
"Male","Loyal Customer",75,"Business travel","Eco",404,"4","3","5","3","4","4","4","4","1","1","2","4","3","4",48,44,"neutral or dissatisfied"
"Female","Loyal Customer",55,"Business travel","Business",2639,"3","3","3","3","3","5","5","5","5","5","5","5","5","4",0,0,"satisfied"
"Female","Loyal Customer",45,"Business travel","Business",1084,"3","3","3","3","2","4","4","2","2","2","2","5","2","4",0,0,"satisfied"
"Male","Loyal Customer",34,"Business travel","Business",1907,"1","1","5","1","4","4","1","4","4","4","4","3","4","3",10,0,"satisfied"
"Female","Loyal Customer",45,"Business travel","Business",2327,"2","2","2","2","2","4","5","4","4","4","4","5","4","5",8,9,"satisfied"
"Female","Loyal Customer",31,"Personal Travel","Eco",266,"3","5","3","5","1","3","1","1","3","5","5","3","5","1",7,17,"neutral or dissatisfied"
"Male","disloyal Customer",23,"Business travel","Eco",1013,"3","3","3","3","5","3","3","5","3","5","4","5","5","5",4,0,"neutral or dissatisfied"
"Female","Loyal Customer",24,"Business travel","Business",2118,"2","2","2","2","2","2","2","2","3","2","3","3","4","2",123,121,"neutral or dissatisfied"
"Female","Loyal Customer",31,"Business travel","Business",1861,"4","4","4","4","5","5","5","5","5","4","4","4","4","5",0,0,"satisfied"
"Female","Loyal Customer",22,"Business travel","Business",436,"1","1","1","1","2","2","2","2","3","4","4","3","3","2",57,47,"satisfied"
"Female","Loyal Customer",41,"Business travel","Business",2688,"3","3","5","3","5","4","5","4","4","4","4","5","4","3",4,0,"satisfied"
"Female","Loyal Customer",37,"Business travel","Business",1400,"4","4","5","4","1","5","1","5","5","5","5","1","5","3",0,0,"satisfied"
"Male","disloyal Customer",26,"Business travel","Eco",965,"2","2","2","4","2","2","1","2","4","2","4","1","4","2",39,35,"neutral or dissatisfied"
"Male","Loyal Customer",15,"Personal Travel","Eco",251,"2","5","0","5","3","0","3","3","3","2","5","5","4","3",3,0,"neutral or dissatisfied"
"Female","Loyal Customer",28,"Business travel","Business",2300,"2","2","2","2","2","2","2","2","3","3","5","5","4","2",0,0,"satisfied"
"Male","Loyal Customer",47,"Business travel","Business",1187,"4","4","4","4","4","5","4","2","2","2","2","3","2","3",0,0,"satisfied"
"Male","Loyal Customer",59,"Personal Travel","Eco Plus",948,"3","1","3","3","4","3","4","4","1","3","3","4","2","4",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",29,"Business travel","Eco",693,"1","1","1","4","3","1","3","3","2","1","3","2","4","3",32,35,"neutral or dissatisfied"
"Male","disloyal Customer",23,"Business travel","Eco",472,"1","4","1","3","4","1","5","4","1","1","4","4","4","4",17,2,"neutral or dissatisfied"
"Female","Loyal Customer",51,"Business travel","Business",3441,"1","2","2","2","3","4","4","1","1","1","1","2","1","4",17,6,"neutral or dissatisfied"
"Male","Loyal Customer",33,"Business travel","Business",1727,"4","4","4","4","4","4","4","4","4","2","3","5","5","4",0,0,"satisfied"
"Male","Loyal Customer",26,"Personal Travel","Eco",874,"3","3","3","3","4","3","1","4","1","1","2","3","3","4",2,2,"neutral or dissatisfied"
"Female","disloyal Customer",23,"Business travel","Eco",882,"4","4","4","1","4","4","4","4","4","5","4","3","5","4",21,28,"neutral or dissatisfied"
"Male","Loyal Customer",24,"Personal Travel","Eco",204,"3","5","3","1","4","3","4","4","5","2","3","1","5","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",49,"Business travel","Business",1034,"4","4","4","4","2","5","5","2","2","2","2","4","2","5",5,16,"satisfied"
"Female","Loyal Customer",30,"Business travel","Business",1874,"2","2","2","2","5","5","5","5","2","3","5","5","5","5",0,0,"satisfied"
"Male","Loyal Customer",52,"Business travel","Business",1722,"4","4","4","4","2","3","1","4","4","5","4","1","4","3",0,0,"satisfied"
"Female","disloyal Customer",33,"Business travel","Eco",177,"3","1","3","4","3","4","4","1","2","4","4","4","1","4",120,137,"neutral or dissatisfied"
"Female","Loyal Customer",11,"Personal Travel","Eco",192,"1","5","0","4","4","0","4","4","3","3","5","4","5","4",8,4,"neutral or dissatisfied"
"Male","disloyal Customer",34,"Business travel","Eco",237,"3","0","3","3","4","3","4","4","3","2","4","2","5","4",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",25,"Business travel","Business",404,"4","4","5","1","5","2","2","4","5","4","4","2","4","2",162,176,"neutral or dissatisfied"
"Female","Loyal Customer",39,"Personal Travel","Eco Plus",679,"3","4","3","1","2","3","2","2","5","3","4","3","5","2",0,9,"neutral or dissatisfied"
"Female","Loyal Customer",29,"Business travel","Business",484,"1","1","2","1","5","5","5","5","5","5","5","3","4","5",9,5,"satisfied"
"Male","Loyal Customer",46,"Business travel","Business",1020,"5","5","5","5","2","4","4","4","4","4","4","3","4","4",0,0,"satisfied"
"Female","Loyal Customer",57,"Personal Travel","Eco",628,"4","5","4","5","4","5","5","5","5","4","5","5","5","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",64,"Personal Travel","Eco",157,"2","2","2","3","5","4","4","2","2","2","2","3","2","4",0,1,"neutral or dissatisfied"
"Male","Loyal Customer",45,"Business travel","Eco",202,"2","2","2","2","2","2","2","2","3","5","3","2","4","2",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",18,"Personal Travel","Eco",377,"2","5","2","3","4","2","4","4","3","3","5","3","4","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",46,"Business travel","Business",1831,"5","5","5","5","3","5","4","5","5","5","5","5","5","4",0,1,"satisfied"
"Male","Loyal Customer",62,"Business travel","Business",3934,"2","2","4","2","4","3","1","5","5","4","5","5","5","4",58,47,"satisfied"
"Female","Loyal Customer",43,"Business travel","Business",2139,"1","1","1","1","3","4","4","5","5","4","5","4","5","5",12,0,"satisfied"
"Male","Loyal Customer",52,"Business travel","Eco",403,"5","2","2","2","5","5","5","5","3","1","4","2","3","5",0,0,"satisfied"
"Female","Loyal Customer",8,"Personal Travel","Business",733,"2","2","2","4","5","2","5","5","4","5","3","2","4","5",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",50,"Business travel","Business",1741,"5","5","5","5","4","1","4","3","3","4","3","4","3","3",0,0,"satisfied"
"Male","Loyal Customer",43,"Business travel","Business",2971,"3","2","2","2","4","2","2","3","3","3","3","4","3","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",40,"Personal Travel","Eco",1773,"2","4","3","1","2","3","4","2","2","3","3","1","2","2",0,3,"neutral or dissatisfied"
"Female","Loyal Customer",39,"Business travel","Business",188,"1","1","1","1","2","4","1","4","4","5","4","2","4","3",3,0,"satisfied"
"Male","Loyal Customer",15,"Personal Travel","Eco",237,"5","5","5","2","2","5","2","2","3","2","4","5","4","2",0,0,"satisfied"
"Female","Loyal Customer",25,"Business travel","Business",3580,"1","5","5","5","1","1","1","1","2","5","4","1","4","1",0,4,"neutral or dissatisfied"
"Male","Loyal Customer",49,"Business travel","Business",2586,"4","3","4","4","4","5","5","5","5","5","5","4","5","3",0,0,"satisfied"
"Male","Loyal Customer",7,"Personal Travel","Eco",888,"2","3","2","1","2","2","2","2","5","1","4","4","3","2",0,18,"neutral or dissatisfied"
"Female","Loyal Customer",43,"Business travel","Business",2820,"3","3","3","3","2","5","4","4","4","4","4","5","4","3",0,0,"satisfied"
"Male","Loyal Customer",38,"Business travel","Eco",337,"2","5","2","5","2","2","2","2","2","5","3","1","4","2",87,89,"neutral or dissatisfied"
"Male","Loyal Customer",35,"Business travel","Eco",927,"4","5","5","5","4","4","4","4","1","2","5","2","3","4",22,19,"satisfied"
"Female","Loyal Customer",28,"Personal Travel","Eco",1723,"1","4","0","1","4","0","4","4","5","2","5","5","4","4",20,25,"neutral or dissatisfied"
"Male","Loyal Customer",41,"Business travel","Business",861,"5","5","5","5","3","3","2","4","4","4","4","4","4","4",29,30,"satisfied"
"Female","Loyal Customer",59,"Business travel","Eco",794,"5","3","3","3","5","5","4","5","5","5","5","4","5","3",14,8,"satisfied"
"Male","Loyal Customer",52,"Business travel","Business",1766,"4","5","4","4","4","5","5","4","4","4","4","5","4","3",0,0,"satisfied"
"Male","disloyal Customer",22,"Business travel","Eco",1180,"2","2","2","2","4","2","2","4","3","3","2","1","2","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",33,"Personal Travel","Eco",1061,"2","5","2","3","2","2","2","2","4","4","5","4","4","2",7,0,"neutral or dissatisfied"
"Female","Loyal Customer",67,"Personal Travel","Eco",110,"2","4","2","4","3","3","3","2","2","2","4","2","2","3",2,3,"neutral or dissatisfied"
"Male","Loyal Customer",58,"Business travel","Business",964,"3","3","3","3","5","5","4","1","1","2","1","3","1","4",85,84,"satisfied"
"Male","Loyal Customer",50,"Business travel","Eco",308,"2","1","1","1","2","2","2","2","3","2","2","2","3","2",18,12,"neutral or dissatisfied"
"Female","Loyal Customer",34,"Business travel","Business",1012,"4","4","4","4","3","4","5","4","4","4","4","5","4","3",7,0,"satisfied"
"Female","Loyal Customer",58,"Business travel","Business",2536,"1","1","1","1","5","4","4","4","4","4","4","3","4","4",1,0,"satisfied"
"Female","Loyal Customer",38,"Personal Travel","Eco",950,"2","5","2","3","3","2","3","3","4","5","3","4","4","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",41,"Business travel","Eco Plus",978,"5","3","5","3","5","5","5","5","2","1","3","3","2","5",0,0,"satisfied"
"Female","disloyal Customer",22,"Business travel","Eco",205,"3","1","3","4","1","3","1","1","2","1","4","1","3","1",59,52,"neutral or dissatisfied"
"Female","Loyal Customer",42,"Business travel","Business",789,"4","4","4","4","2","2","2","4","5","5","4","2","4","2",137,125,"satisfied"
"Male","Loyal Customer",33,"Business travel","Business",1843,"3","3","3","3","2","2","2","2","3","2","5","3","5","2",59,64,"satisfied"
"Male","Loyal Customer",44,"Business travel","Business",3781,"3","3","3","3","3","5","5","5","5","5","5","5","5","5",0,14,"satisfied"
"Female","disloyal Customer",29,"Business travel","Eco",2704,"1","1","1","4","1","1","1","1","4","5","2","2","3","1",15,7,"neutral or dissatisfied"
"Male","Loyal Customer",46,"Business travel","Business",594,"5","5","5","5","3","5","5","4","4","4","4","4","4","5",0,0,"satisfied"
"Female","Loyal Customer",51,"Business travel","Business",2981,"2","2","2","2","2","2","5","4","4","4","4","3","4","4",0,5,"satisfied"
"Male","Loyal Customer",69,"Personal Travel","Eco Plus",86,"3","2","3","3","4","3","4","4","2","3","4","2","3","4",1,3,"neutral or dissatisfied"
"Male","Loyal Customer",47,"Business travel","Business",1440,"2","2","2","2","4","4","4","5","5","5","5","5","5","4",0,11,"satisfied"
"Female","disloyal Customer",20,"Business travel","Eco",871,"2","2","2","3","4","2","4","4","4","1","1","1","2","4",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",37,"Business travel","Eco",102,"1","3","1","4","4","1","4","4","2","1","2","4","2","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",37,"Business travel","Eco",102,"3","4","3","4","3","3","3","3","3","2","2","3","2","3",0,6,"neutral or dissatisfied"
"Female","Loyal Customer",26,"Personal Travel","Eco",785,"1","5","1","5","1","1","5","1","5","3","4","4","5","1",32,39,"neutral or dissatisfied"
"Female","Loyal Customer",49,"Business travel","Business",2035,"1","1","1","1","2","4","4","3","3","3","3","3","3","4",0,0,"satisfied"
"Female","Loyal Customer",68,"Business travel","Business",3623,"4","5","4","5","2","3","4","3","3","2","4","1","3","2",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",55,"Business travel","Business",690,"4","4","4","4","3","4","5","5","5","5","5","3","5","3",0,0,"satisfied"
"Male","Loyal Customer",53,"Personal Travel","Eco",1009,"2","3","2","1","1","2","1","1","4","2","3","2","1","1",29,13,"neutral or dissatisfied"
"Female","Loyal Customer",38,"Personal Travel","Eco",630,"4","5","4","5","2","4","2","2","4","2","5","5","5","2",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",41,"Business travel","Business",3328,"4","4","4","4","2","5","4","5","5","4","5","5","5","5",0,0,"satisfied"
"Female","disloyal Customer",20,"Business travel","Eco",759,"2","2","2","3","1","2","1","1","2","4","4","2","4","1",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",44,"Business travel","Business",1464,"3","3","5","3","3","5","4","4","4","4","4","5","4","5",17,17,"satisfied"
"Male","Loyal Customer",48,"Business travel","Business",2503,"3","5","5","5","2","3","3","4","4","4","3","4","4","1",114,111,"neutral or dissatisfied"
"Male","Loyal Customer",20,"Business travel","Business",1934,"2","3","3","3","2","2","2","2","1","3","4","3","4","2",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",55,"Personal Travel","Eco Plus",90,"4","1","4","3","2","3","3","5","5","4","3","4","5","4",0,2,"neutral or dissatisfied"
"Male","disloyal Customer",25,"Business travel","Business",373,"2","0","2","2","5","2","3","5","4","5","5","3","5","5",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",9,"Personal Travel","Eco",2409,"1","4","1","4","1","3","3","3","3","3","4","3","2","3",0,50,"neutral or dissatisfied"
"Male","Loyal Customer",59,"Business travel","Business",3051,"0","4","0","3","4","4","5","4","4","3","3","4","4","3",7,0,"satisfied"
"Male","Loyal Customer",29,"Personal Travel","Eco",557,"1","1","1","4","1","1","1","1","4","4","3","4","3","1",0,2,"neutral or dissatisfied"
"Female","Loyal Customer",47,"Personal Travel","Eco",391,"3","5","3","3","2","5","5","4","4","3","3","3","4","5",9,46,"neutral or dissatisfied"
"Female","Loyal Customer",44,"Business travel","Eco Plus",160,"5","1","1","1","5","4","5","5","5","5","5","5","5","3",0,0,"satisfied"
"Male","Loyal Customer",69,"Business travel","Business",163,"0","5","0","3","5","3","4","5","5","5","5","4","5","4",47,57,"satisfied"
"Male","Loyal Customer",27,"Business travel","Business",3538,"2","2","2","2","4","4","4","4","3","5","2","3","1","4",21,107,"satisfied"
"Female","disloyal Customer",25,"Business travel","Business",546,"2","0","2","4","4","2","4","4","4","4","5","4","5","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",63,"Personal Travel","Eco",426,"2","3","3","3","1","4","4","1","1","3","1","1","1","3",33,20,"neutral or dissatisfied"
"Female","Loyal Customer",55,"Business travel","Business",229,"3","3","3","3","3","1","1","3","3","3","3","1","3","1",72,87,"neutral or dissatisfied"
"Male","Loyal Customer",35,"Personal Travel","Eco",1008,"2","5","2","1","1","2","1","1","4","4","4","3","5","1",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",60,"Business travel","Business",611,"4","4","4","4","4","4","4","5","5","5","4","4","3","4",122,154,"satisfied"
"Male","disloyal Customer",23,"Business travel","Eco",456,"3","4","3","4","4","3","4","4","3","2","4","2","3","4",100,84,"neutral or dissatisfied"
"Female","Loyal Customer",51,"Business travel","Business",409,"2","2","4","2","2","5","5","5","5","4","5","4","5","5",14,0,"satisfied"
"Female","disloyal Customer",23,"Business travel","Business",746,"0","0","0","3","4","0","4","4","5","3","5","4","4","4",4,0,"satisfied"
"Female","disloyal Customer",37,"Business travel","Eco",548,"4","2","4","3","3","4","3","3","4","5","4","1","3","3",10,6,"neutral or dissatisfied"
"Male","Loyal Customer",47,"Business travel","Business",528,"5","5","5","5","5","4","4","2","2","2","2","4","2","4",64,53,"satisfied"
"Male","Loyal Customer",33,"Personal Travel","Eco",366,"2","2","2","3","1","2","1","1","3","2","3","3","3","1",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",47,"Business travel","Business",456,"1","1","3","1","4","4","4","4","4","4","4","3","4","5",0,0,"satisfied"
"Female","Loyal Customer",60,"Business travel","Business",230,"2","2","1","2","3","4","5","5","5","5","5","3","5","1",0,0,"satisfied"
"Female","Loyal Customer",70,"Personal Travel","Eco",834,"3","5","3","3","2","4","2","4","4","3","4","3","4","1",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",46,"Business travel","Eco",599,"4","5","5","5","4","4","4","4","5","5","3","1","1","4",0,0,"satisfied"
"Male","Loyal Customer",41,"Personal Travel","Eco",1533,"1","1","1","3","4","1","4","4","4","3","1","4","2","4",0,0,"neutral or dissatisfied"
"Female","disloyal Customer",26,"Business travel","Eco",896,"2","2","2","1","5","2","4","5","4","1","1","4","3","5",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",45,"Personal Travel","Eco",192,"2","5","2","3","4","5","4","3","3","2","3","3","3","3",99,104,"neutral or dissatisfied"
"Male","Loyal Customer",39,"Business travel","Eco",190,"5","4","4","4","5","5","5","4","2","4","4","5","2","5",183,189,"satisfied"
"Female","Loyal Customer",44,"Business travel","Business",1379,"5","5","5","5","3","5","4","3","3","2","3","4","3","5",4,0,"satisfied"
"Male","Loyal Customer",55,"Business travel","Business",1642,"3","3","3","3","3","4","5","5","5","5","5","4","5","4",0,0,"satisfied"
"Female","Loyal Customer",24,"Personal Travel","Eco",1011,"3","1","3","3","5","3","3","5","2","5","4","3","3","5",9,13,"neutral or dissatisfied"
"Male","Loyal Customer",48,"Business travel","Business",517,"4","4","4","4","4","4","4","3","2","4","5","4","5","4",216,224,"satisfied"
"Male","Loyal Customer",47,"Business travel","Business",2288,"2","2","2","2","5","5","5","5","5","4","5","5","5","5",4,0,"satisfied"
"Male","Loyal Customer",54,"Business travel","Business",3098,"3","3","3","3","1","1","1","5","5","5","5","5","5","2",0,0,"satisfied"
"Male","Loyal Customer",49,"Business travel","Business",2450,"2","1","1","1","4","4","4","2","2","2","2","4","2","1",1,0,"neutral or dissatisfied"
"Female","Loyal Customer",41,"Business travel","Business",2441,"0","1","1","2","2","3","4","2","2","2","2","3","2","4",0,0,"satisfied"
"Female","Loyal Customer",58,"Personal Travel","Eco",1105,"2","5","3","4","5","5","1","3","3","3","3","5","3","5",3,3,"neutral or dissatisfied"
"Female","Loyal Customer",30,"Business travel","Business",116,"0","5","0","1","2","2","2","2","4","5","4","3","4","2",0,0,"satisfied"
"Male","Loyal Customer",33,"Business travel","Business",187,"1","1","3","1","5","5","5","5","5","2","5","3","5","5",0,0,"satisfied"
"Male","Loyal Customer",38,"Personal Travel","Eco",101,"2","3","2","1","3","2","5","3","5","5","5","3","2","3",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",60,"Business travel","Business",2065,"3","3","3","3","2","4","4","5","5","5","5","3","5","4",0,0,"satisfied"
"Female","Loyal Customer",66,"Personal Travel","Business",468,"2","5","5","2","4","5","5","3","3","5","3","4","3","3",65,70,"neutral or dissatisfied"
"Male","Loyal Customer",44,"Personal Travel","Eco",184,"3","4","3","1","5","3","5","5","5","3","4","3","5","5",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",35,"Personal Travel","Eco Plus",872,"3","4","4","4","5","4","5","5","2","4","3","2","3","5",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",58,"Business travel","Business",1925,"2","1","1","1","5","3","3","2","2","2","2","2","2","1",34,26,"neutral or dissatisfied"
"Female","Loyal Customer",61,"Personal Travel","Business",1034,"3","4","3","3","5","4","4","5","5","3","5","4","5","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",37,"Business travel","Eco",499,"5","4","4","4","5","5","5","5","2","4","1","4","4","5",0,2,"satisfied"
"Female","Loyal Customer",51,"Personal Travel","Eco",594,"2","4","1","3","1","3","4","2","2","1","2","2","2","1",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",22,"Business travel","Business",2030,"4","4","3","4","5","5","5","5","1","2","3","5","4","5",0,3,"satisfied"
"Male","Loyal Customer",39,"Business travel","Eco",150,"2","5","5","5","2","2","2","2","2","5","3","3","3","2",0,0,"satisfied"
"Male","Loyal Customer",45,"Business travel","Business",781,"3","4","4","4","5","4","4","3","3","3","3","4","3","3",13,14,"neutral or dissatisfied"
"Female","Loyal Customer",52,"Business travel","Business",3399,"4","4","4","4","5","5","4","4","4","4","4","3","4","5",0,4,"satisfied"
"Female","Loyal Customer",59,"Business travel","Business",2463,"1","1","4","1","2","5","4","5","5","5","5","3","5","4",59,46,"satisfied"
"Female","Loyal Customer",55,"Business travel","Business",2185,"2","2","5","2","5","5","5","5","5","5","5","5","5","3",0,0,"satisfied"
"Male","Loyal Customer",40,"Personal Travel","Eco",600,"2","5","2","3","1","2","1","1","2","5","2","4","3","1",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",58,"Business travel","Business",414,"1","1","1","1","4","4","5","4","4","4","4","4","4","5",17,4,"satisfied"
"Male","Loyal Customer",46,"Business travel","Business",2747,"1","1","1","1","5","5","2","4","4","4","4","5","4","3",28,27,"satisfied"
"Female","Loyal Customer",58,"Personal Travel","Business",867,"1","3","1","5","4","4","5","5","5","1","5","4","5","5",11,0,"neutral or dissatisfied"
"Male","Loyal Customer",31,"Business travel","Business",2253,"1","5","1","1","5","5","5","5","3","5","3","4","4","5",2,2,"satisfied"
"Female","Loyal Customer",33,"Business travel","Business",937,"5","5","5","5","5","4","5","5","5","5","5","4","5","2",0,0,"satisfied"
"Female","disloyal Customer",20,"Business travel","Business",862,"4","0","5","3","2","5","2","2","4","3","5","3","4","2",10,22,"satisfied"
"Male","Loyal Customer",53,"Business travel","Business",3574,"5","5","5","5","5","5","5","5","5","5","5","5","5","5",29,23,"satisfied"
"Female","disloyal Customer",70,"Personal Travel","Eco",1464,"4","5","4","2","5","4","2","5","3","3","3","3","4","5",15,11,"neutral or dissatisfied"
"Female","Loyal Customer",54,"Business travel","Business",2838,"2","2","2","2","3","5","5","5","5","5","5","4","5","5",0,0,"satisfied"
